lead_id,email,company_name,industry,job_title,seniority_level,company_size,country,email_opens,email_clicks,website_visits,time_on_site,pages_viewed,content_downloads,form_submissions,event_attendance,demo_requests,pricing_page_views,feature_page_views,days_since_first_interaction,total_interactions,last_interaction_days,converted
LEAD_1,bradyjohn@example.org,"Hardin, Blair and Allen",Healthcare,Print production planner,Executive,1-10,UK,17,4,27,621,11,3,2,0,0,4,2,117,49,25,0
LEAD_2,brendaleon@example.org,"Lee, Taylor and Barnes",Healthcare,English as a second language teacher,Senior,1-10,Germany,10,8,23,159,12,0,1,0,1,4,6,35,8,11,0
LEAD_3,juan59@example.net,Miller-Barnes,Healthcare,Medical laboratory scientific officer,Senior,1000+,India,1,1,11,751,1,3,2,1,0,1,6,87,40,10,0
LEAD_4,dawn44@example.org,Ellis Inc,Education,"Teacher, special educational needs",Mid,51-200,India,15,5,30,367,15,4,0,1,0,3,9,94,30,3,0
LEAD_5,valvarez@example.org,Carter Group,Finance,Psychiatrist,Entry,51-200,UK,2,0,20,371,14,4,0,0,1,2,7,31,56,14,0
LEAD_6,uchase@example.com,Turner-Ewing,Healthcare,Graphic designer,Senior,51-200,Canada,3,2,22,659,2,2,1,0,1,2,2,51,31,21,0
LEAD_7,uharris@example.net,"Abbott, Diaz and Conner",Retail,Charity officer,Senior,1000+,Germany,18,0,29,187,18,4,2,0,1,3,4,83,22,13,0
LEAD_8,smithadam@example.net,"Knight, Sullivan and Barajas",Education,Sport and exercise psychologist,Entry,11-50,UK,15,5,23,669,16,3,0,1,0,2,0,57,59,17,0
LEAD_9,williammartin@example.net,Gonzalez Inc,Education,Best boy,Entry,11-50,India,10,0,38,520,9,4,1,0,0,1,5,27,20,8,0
LEAD_10,pclark@example.org,"Cox, Smith and Gonzales",Education,Medical secretary,Mid,1-10,UK,15,4,33,505,14,3,1,1,1,1,0,49,9,14,0
LEAD_11,jholt@example.net,"Harris, Mcguire and Perez",Education,Firefighter,Entry,11-50,USA,15,2,23,421,12,0,1,1,0,0,9,51,56,6,1
LEAD_12,gregory01@example.com,"Holmes, Brown and Chen",Technology,"Therapist, drama",Senior,201-1000,USA,15,0,36,406,9,0,2,1,1,4,6,50,56,8,0
LEAD_13,rebecca27@example.org,Black-Peterson,Education,Art therapist,Mid,11-50,Canada,15,0,38,326,6,1,1,0,1,4,6,32,13,7,0
LEAD_14,jessica72@example.net,"Rivera, Wood and Becker",Retail,Fast food restaurant manager,Senior,1000+,UK,7,7,0,333,2,0,1,1,0,1,5,21,34,14,0
LEAD_15,butlerlee@example.net,Adams-Johnson,Healthcare,"Loss adjuster, chartered",Entry,1000+,Germany,14,6,4,478,19,2,0,0,1,3,4,85,50,10,0
LEAD_16,ocooper@example.org,Thompson Ltd,Finance,Make,Entry,1000+,Germany,3,6,7,178,6,1,0,1,1,2,4,95,29,10,1
LEAD_17,stephenlucas@example.org,"Davis, Snyder and Massey",Retail,Chartered management accountant,Executive,201-1000,USA,12,3,19,39,9,4,2,1,1,4,0,99,33,15,1
